Location,Address,Latitude,Longitude
UPMC Children’s Hospital of Pittsburgh,"4401 Penn Ave, Pittsburgh, PA 15224",40.46657,-79.95315
UPMC East,"2775 Mosside Blvd, Monroeville, PA 15146",40.43666,-79.76028
UPMC Magee-Womens Hospital,"300 Halket St, Pittsburgh, PA 15146",40.43681,-79.9607
UPMC McKeesport,"1500 5th Ave, McKeesport, PA 15132",40.35162,-79.84907
UPMC Mercy,"1400 Locust St, Pittsburgh, PA 15219",40.43623,-79.9856
UPMC Montefiore,"3459 Fifth Ave, Pittsburgh, PA 15213",40.44058,-79.96178
UPMC Passavant - Cranberry,"1 St. Francis Way, Craberry Township, PA 16066",40.68328,-80.0983
UPMC Passavant - McCandless,"9100 Babcock Blvd, Pittsburgh, PA 15237",40.5729,-80.01395
UPMC Presbyterian,"200 Lothrop St, Pittsburgh, PA 15213",40.44241,-79.96029
UPMC Shadyside,"5230 Centre Ave, Pittsburgh, PA 15232",40.45428,-79.9396
UPMC St. Margaret,"815 Freeport Rd, Pittsburgh, PA 15215",40.48925,-79.89633
UPMC Western Psychiatric Hospital,"3811 O’Hara St, Pittsburgh, PA 15213",40.44373,-79.95988
